Date,Day,Lunch,Main Course,Main Course detail,Dessert,,Guest/other,
May9,Thursday,,"fruit chat, samosay, sandwich bites",kabab,,,,
May10,Friday,,"fruit chat, pakoray, dahi phulki",,,,,
May11,Saturday,,Al reda,,,,,
May12,Sunday,,"qeema, paratha",,,,,
May13,Monday,,"fruit chat, chicken roll",,,,,
May14,Tuesday,,pulao ,,jelly,,,
May15,Wednesday,,"fruit chat, alu pakoray",,,,,
May16,Thursday,,mini pizzas,,,,,
May17,Friday,,"dahi baray, pakoray",,,,,
May18,Saturday,,"fruit chat, baked chicken + Risa",,jelly,,,
May19,Sunday,,Rimsha's,,,,,
May20,Monday,,"fruit chat, chips, samosay, leftover burger",,,,,
May21,Tuesday,,"fruit chat, chicken roll",,,,,
May22,Wednesday,,"fruit chat, alu pakoray",,,,,
May23,Thursday,,"fruit chat, rolls, sandwich bites",,,,,
May24,Friday,,"fruit chat, chana chat",,,,,
May25,Saturday,,"pakoray, chicken rolls, fruit chat, dahi bhallay, mini pizzas, tandoori chicken with veggies",,gulab jamun (around 40),,15 people,
May26,Sunday,,"fruit chat, macaronis (3 cups spiral, 1/2 packet peas, 2 gajar)",,,,,
May27,Monday,,"fruit chat, grilled chicken sandwiches, fries, samosay",,,,,
May28,Tuesday,,order,,,,,
May29,Wednesday,,"fruit chat, alu pakoray, samosay",,,,,
May30,Thursday,,"fruit chat, dahi bhallay, rolls, fries",,,,,
May31,Friday,,"fruit chat, pakoray, chana chat",,,,,
Jun1,Saturday,,,,,,,
Jun2,Sunday,,"fruit chat, samosay, sandwich bites",,,,,
Jun3,Monday,,haleem,,,,,
Jun4,Tuesday,,,,"siwaiyan (1 packet, 2 litre milk)",,,
Jun5,Wednesday,,,,,,,
Jun6,Thursday,,,,,,,
Jun7,Friday,,fish corn,,,,,
Jun8,Saturday,,,,,,,
Jun9,Sunday,,,,,,,
Jun10,Monday,,mutton karhai,,,,,
Jun11,Tuesday,,,,,,,
Jun12,Wednesday,,"pasta (1/4 stuck chicken, 1 gajar, 1/4 cup peas, 3 cup spiral spaghettis) ",,"custard jelly fruit cups (1 jelly, 4 cups - 1 cup custard - next time 2 cups) ",,,
Jun13,Thursday,,bhindi (350g) - 36 pcs,,,,,
Jun14,Friday,,,,,,,
Jun15,Saturday,,,,,,,
Jun16,Sunday,,,,"custard cups (2 jellies, 10 cups, 3 cups milk)",,9 people,"snacks: popcorn, chips, peanuts"
Jun17,Monday,,beef biryani,2.25 cups rice (1 tsp salt added was less),,,,
Jun18,Tuesday,,,,,,,
Jun19,Wednesday,,salad with potato,,,,,
Jun20,Thursday,,"Kung pao, rice, 8 salad rolls","brustfilet (2/3 stuck), rice (2.25) 8 salad rolls (leftover for 2 people)",german cheesecake (1/2 pc choc),,laila,
Jun21,Friday,,,,,,laila,
Jun22,Saturday,,,,,,laila,
Jun23,Sunday,,,,,,laila,
Jun24,Monday,,baked  chicken tikka,,,,,
Jun25,Tuesday,,daal chawal,"1 cup daal, 1 cup chawal","jelly custard (1 jelly, custard 2 cups milk) ",,,
Jun26,Wednesday,,,,,,,
Jun27,Thursday,,,,,,,
Jun28,Friday,,"pasta (4 cups, 1gajar, peas)",leftover 2 ppl,muffins,,,
Jun29,Saturday,,,,,,,
Jun30,Sunday,,Mongolian beef,,,,,
Jul1,Monday,,chicken salan,,jelly custard,,,
Jul2,Tuesday,,,,,,,
Jul3,Wednesday,,,,,,,
Jul4,Thursday,,"kung pao (1 stuck), 2.5 cups rice",,,,,
Jul5,Friday,,,,,,,
Jul6,Saturday,,,,,,,
Jul7,Sunday,,"Nashta: kabab, jam, butter, cherry tomatoes","kung pao (1/2 chicken), beef (1 kg), 2.5 cups rice) - next time make more rice (also, enough for 6 people)",Mini zupfkuchen,,shahida phuppo,
Jul8,Monday,,,,,,,
Jul9,Tuesday,,,,brownies,,maida,
Jul10,Wednesday,,,,,,maida,
Jul11,Thursday,,"Nashta: kabab, jam, butter, cherry tomatoes",,,,maida,
Jul12,Friday,,Kabab karhai,,,,maida,
Jul13,Saturday,,"Bhindi (30, 1 pyaaz, 1 tomato)",,,,,
Jul14,Sunday,,karolina,,baked pancakes (8 inch square dish),,,
Jul15,Monday,,thai,,,,,
Jul16,Tuesday,,fish + corns + peas,,,,,
Jul17,Wednesday,,,,,,,
Jul18,Thursday,,Beef biryani (2.5 cups rice),,mini brownie,,laila,
Jul19,Friday,,,,,,laila,
Jul20,Saturday,,,,,,,
Jul21,Sunday,,bbq (2 kg chicken for 6 ppl + sausages),,brownies (BBQ),,,
Jul22,Monday,,,,,,,
Jul23,Tuesday,,"Chow mein (4 stuck, 1 gajar, 1 shimla mirch, 1 green onion, 1 egg)",,,,,
Jul24,Wednesday,,Bhindi,,,,,
Jul25,Thursday,,,,,,,
Jul26,Friday,,Chicken karhai,,,,,
Jul27,Saturday,,,,,,,
Jul28,Sunday,,,,tiramisu,,,
Jul29,Monday,,"mutton pulao (2.25 cups rice, 500g mutton - 1 tsp salt in rice, 1 tsp in meat, next time increase salt)",,,,,
Jul30,Tuesday,,,,,,,
Jul31,Wednesday,,fish corn peas garlic bread,,,,,
Aug1,Thursday,,,,,,,
Aug2,Friday,,"biryani, mutton karhai, shashlik, raita, salad roll, roti",,"custard jelly, ras malai",,Khizar,
Aug3,Saturday,,,,,,,
Aug4,Sunday,,,,,,,
Aug5,Monday,,qeema,,,,,
Aug6,Tuesday,,salad tandoori chicken,,,,,
Aug7,Wednesday,,salad,,,,,
Aug8,Thursday,,,,,,,
Aug9,Friday,,,,,,,
Aug10,Saturday,,,,,,,
Aug11,Sunday,,siwaiyan,,,,,
Aug12,Monday,,nihari,,,,,
Aug13,Tuesday,,,,,,,
Aug14,Wednesday,,,,,,,
Aug15,Thursday,,pineapple chicken,,,,,
Aug16,Friday,,,,,,,
Aug17,Saturday,,matar gosht,,,,,
Aug18,Sunday,,,,,,,
Aug19,Monday,,,,,,,
Aug20,Tuesday,,"chicken salan, chana pulao",,,,,
Aug21,Wednesday,,,,,,,
Aug22,Thursday,,,,,,,
Aug23,Friday,,,,,,,
Aug24,Saturday,,,,,,,
Aug25,Sunday,,,,,,,
Aug26,Monday,,,,,,,
Aug27,Tuesday,,,,,,,
Aug28,Wednesday,,,,,,,
Aug29,Thursday,,,,,,,
Aug30,Friday,,,,,,,
Aug31,Saturday,,,,,,,
Sep1,Sunday,,,,,,,
Sep2,Monday,,,,,,,
Sep3,Tuesday,,,,,,,
Sep4,Wednesday,,,,,,,
Sep5,Thursday,,,,,,,
Sep6,Friday,,,,,,,
Sep7,Saturday,,,,,,,
Sep8,Sunday,,,,,,,
Sep9,Monday,,,,,,,
Sep10,Tuesday,,,,,,,
Sep11,Wednesday,,,,,,,
Sep12,Thursday,,,,,,,
Sep13,Friday,,,,,,,
Sep14,Saturday,,,,,,,
Sep15,Sunday,,,,,,,
Sep16,Monday,,,,,,,
Sep17,Tuesday,,,,,,,
Sep18,Wednesday,,,,,,,
Sep19,Thursday,,,,,,,
Sep20,Friday,,,,,,,
